time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449450000	17.9131	18.1487	4.81427	2.334	0.52623	radar	7476.73	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.794	18.2805	4.67871	2.3538	0.519656	lidar	24356.5	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6653	18.4571	4.64525	2.3599	0.487789	radar	7934.87	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4614	18.6499	4.75042	2.38786	0.491204	lidar	24354.9	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.283	18.7874	4.71926	2.42652	0.521214	radar	7560.38	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1269	18.9201	4.65213	2.45075	0.519543	lidar	24345.4	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9597	19.0905	4.66717	2.46217	0.495195	radar	8029.07	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7395	19.2095	4.68651	2.50364	0.513903	lidar	23818.8	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5464	19.365	4.72271	2.52926	0.521475	radar	8046.53	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3095	19.5368	4.84743	2.55466	0.519432	lidar	24211.9	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0878	19.6173	4.81311	2.60986	0.570492	radar	7245.99	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8792	19.7633	4.84955	2.63009	0.560781	lidar	24214.3	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6946	19.8863	4.78469	2.63044	0.49419	radar	7589.69	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4544	20.0473	4.89808	2.64645	0.482771	lidar	24107.8	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2347	20.1952	4.94327	2.65636	0.459337	radar	8134.88	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0549	20.3212	4.88838	2.66754	0.446984	lidar	24215.6	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8227	20.4035	4.88855	2.70828	0.480776	radar	7565.04	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6093	20.5212	4.89199	2.72478	0.47238	lidar	23880.8	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3671	20.6111	4.93263	2.76364	0.508465	radar	7871.34	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1221	20.683	4.94275	2.7969	0.517062	lidar	23194	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8814	20.7565	4.96334	2.83355	0.543111	radar	7806.14	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6026	20.821	5.03529	2.86876	0.550973	lidar	22799.4	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3512	20.8535	5.05681	2.92475	0.613916	radar	7624.86	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
